table_name,column_name,data_type,not_null,default_value,is_primary_key
vulnerabilities,id,INTEGER,False,,True
vulnerabilities,COMMIT_HASH,TEXT,False,,False
vulnerabilities,VULNERABILITY_CVE,TEXT,False,,False
vulnerabilities,VULNERABILITY_YEAR,TEXT,False,,False
vulnerabilities,VULNERABILITY_CWE,TEXT,False,,False
vulnerabilities,VULNERABILITY_CATEGORY,TEXT,False,,False
vulnerabilities,DESCRIPTION_IN_PATCH,TEXT,False,,False
vulnerabilities,VULNERABLE_CODE_BLOCK,TEXT,False,,False
vulnerabilities,PATCHED_CODE_BLOCK,TEXT,False,,False
vulnerabilities,NUM_FILES_CHANGED,TEXT,False,,False
vulnerabilities,NUM_FUNCTIONS_CHANGED,TEXT,False,,False
vulnerabilities,NUM_LINES_ADDED,TEXT,False,,False
vulnerabilities,NUM_LINES_DELETED,TEXT,False,,False
vulnerabilities,PROJECT,TEXT,False,,False
vulnerabilities,NUM_LINES_IN_VULNERABLE_CODE_BLOCK,INTEGER,False,,False
vulnerabilities,NUM_LINES_IN_PATCHED_CODE_BLOCK,INTEGER,False,,False
vulnerabilities,NOISE_AMOUNT,INTEGER,False,,False
vulnerabilities,NOISE_REASONING,TEXT,False,,False
sqlite_sequence,name,,False,,False
sqlite_sequence,seq,,False,,False
vulnerabilities_gemma2_9b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_gemma2_9b,BASELINE_VULN,INT,False,,False
vulnerabilities_gemma2_9b,BASELINE_PATCH,INT,False,,False
vulnerabilities_gemma2_9b,COT_VULN,INT,False,,False
vulnerabilities_gemma2_9b,COT_PATCH,INT,False,,False
vulnerabilities_gemma2_9b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_gemma2_9b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_gemma2_9b,THINK_VULN,INT,False,,False
vulnerabilities_gemma2_9b,THINK_PATCH,INT,False,,False
vulnerabilities_gemma2_9b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_gemma2_9b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_gemma2_9b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_gemma2_9b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_gemma2_9b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_gemma2_9b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_qwen2_5_coder_7b,BASELINE_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,BASELINE_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,COT_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,COT_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_7b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_7b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_codellama_7b,BASELINE_VULN,INT,False,,False
vulnerabilities_codellama_7b,BASELINE_PATCH,INT,False,,False
vulnerabilities_codellama_7b,COT_VULN,INT,False,,False
vulnerabilities_codellama_7b,COT_PATCH,INT,False,,False
vulnerabilities_codellama_7b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_7b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_7b,THINK_VULN,INT,False,,False
vulnerabilities_codellama_7b,THINK_PATCH,INT,False,,False
vulnerabilities_codellama_7b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_7b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_7b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_codellama_7b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_codellama_7b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_7b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_deepseek_r1_32b,BASELINE_VULN,INT,False,,False
vulnerabilities_deepseek_r1_32b,BASELINE_PATCH,INT,False,,False
vulnerabilities_deepseek_r1_32b,COT_VULN,INT,False,,False
vulnerabilities_deepseek_r1_32b,COT_PATCH,INT,False,,False
vulnerabilities_deepseek_r1_32b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_VULN,INT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_PATCH,INT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_32b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_deepseek_v2_16b,BASELINE_VULN,INT,False,,False
vulnerabilities_deepseek_v2_16b,BASELINE_PATCH,INT,False,,False
vulnerabilities_deepseek_v2_16b,COT_VULN,INT,False,,False
vulnerabilities_deepseek_v2_16b,COT_PATCH,INT,False,,False
vulnerabilities_deepseek_v2_16b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_VULN,INT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_PATCH,INT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_v2_16b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_deepseek_coder_16b,BASELINE_VULN,INT,False,,False
vulnerabilities_deepseek_coder_16b,BASELINE_PATCH,INT,False,,False
vulnerabilities_deepseek_coder_16b,COT_VULN,INT,False,,False
vulnerabilities_deepseek_coder_16b,COT_PATCH,INT,False,,False
vulnerabilities_deepseek_coder_16b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_VULN,INT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_PATCH,INT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_coder_16b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_qwen2_5_coder_32b,BASELINE_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,BASELINE_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,COT_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,COT_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_qwen2_5_coder_32b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_34b,COMMIT_HASH,TEXT,False,,True
vulnerabilities_codellama_34b,BASELINE_VULN,INT,False,,False
vulnerabilities_codellama_34b,BASELINE_PATCH,INT,False,,False
vulnerabilities_codellama_34b,COT_VULN,INT,False,,False
vulnerabilities_codellama_34b,COT_PATCH,INT,False,,False
vulnerabilities_codellama_34b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_34b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_34b,THINK_VULN,INT,False,,False
vulnerabilities_codellama_34b,THINK_PATCH,INT,False,,False
vulnerabilities_codellama_34b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_34b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_codellama_34b,THINK_VERIFY_VULN,INT,False,,False
vulnerabilities_codellama_34b,THINK_VERIFY_PATCH,INT,False,,False
vulnerabilities_codellama_34b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_codellama_34b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
new_vulnerabilities,COMMIT_HASH,TEXT,False,,False
new_vulnerabilities,VULNERABILITY_CVE,TEXT,False,,False
new_vulnerabilities,VULNERABILITY_CWE,TEXT,False,,False
vulnerabilities_llama3_1_8b,COMMIT_HASH,TEXT,False,,False
vulnerabilities_llama3_1_8b,BASELINE_VULN,INTEGER,False,,False
vulnerabilities_llama3_1_8b,BASELINE_PATCH,INTEGER,False,,False
vulnerabilities_llama3_1_8b,COT_VULN,INTEGER,False,,False
vulnerabilities_llama3_1_8b,COT_PATCH,INTEGER,False,,False
vulnerabilities_llama3_1_8b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_llama3_1_8b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_llama3_1_8b,THINK_VULN,INTEGER,False,,False
vulnerabilities_llama3_1_8b,THINK_PATCH,INTEGER,False,,False
vulnerabilities_llama3_1_8b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_llama3_1_8b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_llama3_1_8b,THINK_VERIFY_VULN,INTEGER,False,,False
vulnerabilities_llama3_1_8b,THINK_VERIFY_PATCH,INTEGER,False,,False
vulnerabilities_llama3_1_8b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_llama3_1_8b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,COMMIT_HASH,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,BASELINE_VULN,REAL,False,,False
vulnerabilities_deepseek_r1_7b,BASELINE_PATCH,REAL,False,,False
vulnerabilities_deepseek_r1_7b,COT_VULN,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,COT_PATCH,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,THINK_VULN,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,THINK_PATCH,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,THINK_VERIFY_VULN,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,THINK_VERIFY_PATCH,INTEGER,False,,False
vulnerabilities_deepseek_r1_7b,COT_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,COT_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,THINK_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,THINK_REASONING_PATCH,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,THINK_VERIFY_REASONING_VULN,TEXT,False,,False
vulnerabilities_deepseek_r1_7b,THINK_VERIFY_REASONING_PATCH,TEXT,False,,False
